"DEPARTURES_SCHEDULED","DEPARTURES_PERFORMED","PAYLOAD","SEATS","PASSENGERS","FREIGHT","MAIL","DISTANCE","RAMP_TO_RAMP","AIR_TIME","UNIQUE_CARRIER_NAME","CARRIER","ORIGIN","DEST","AIRCRAFT_GROUP","AIRCRAFT_TYPE","AIRCRAFT_CONFIG","YEAR","QUARTER","MONTH","DISTANCE_GROUP","CLASS",
0.00,1.00,7200.00,19.00,16.00,0.00,0.00,50.00,30.00,16.00,"ExpressJet Airlines Inc.","RU","ABE","AVP",4,"405",1,1996,4,12,1,"F",
0.00,1.00,36924.00,143.00,65.00,15.00,0.00,110.00,35.00,21.00,"US Airways Inc.","US","ABE","BGM",6,"655",1,1996,4,12,1,"F",
0.00,2.00,21000.00,92.00,75.00,0.00,0.00,67.00,125.00,90.00,"ExpressJet Airlines Inc.","RU","ABE","EWR",4,"441",1,1996,4,12,1,"F",
0.00,2.00,15000.00,60.00,18.00,0.00,0.00,77.00,60.00,32.00,"ExpressJet Airlines Inc.","RU","ABE","MDT",4,"461",1,1996,4,12,1,"F",
0.00,1.00,25825.00,107.00,0.00,0.00,0.00,571.00,143.00,92.00,"Delta Air Lines Inc.","DL","ABE","SBN",6,"620",1,1996,4,12,2,"F",
0.00,2.00,68600.00,284.00,128.00,115.00,250.00,158.00,108.00,77.00,"Delta Air Lines Inc.","DL","ABI","DFW",6,"655",1,1996,4,12,1,"F",
0.00,1.00,31824.00,126.00,99.00,0.00,500.00,487.00,110.00,69.00,"US Airways Inc.","US","ABQ","LAS",6,"619",1,1996,4,12,1,"F",
0.00,1.00,31824.00,126.00,121.00,50.00,200.00,677.00,127.00,108.00,"US Airways Inc.","US","ABQ","LAX",6,"619",1,1996,4,12,2,"F",
0.00,1.00,48786.00,183.00,162.00,0.00,875.00,677.00,123.00,101.00,"Continental Air Lines Inc.","CO","ABQ","LAX",6,"622",1,1996,4,12,2,"F",
0.00,5.00,161310.00,654.00,590.00,593.00,2401.00,677.00,600.00,516.00,"America West Airlines Inc.","HP","ABQ","LAX",6,"619",1,1996,4,12,2,"F",
0.00,1.00,31800.00,126.00,125.00,0.00,1200.00,631.00,114.00,99.00,"United Air Lines Inc.","UA","ABQ","ONT",6,"619",1,1996,4,12,2,"F",
0.00,1.00,36560.00,147.00,130.00,0.00,970.00,631.00,108.00,94.00,"United Air Lines Inc.","UA","ABQ","ONT",7,"715",1,1996,4,12,2,"F",
0.00,3.00,115320.00,450.00,258.00,2749.00,1631.00,328.00,210.00,168.00,"America West Airlines Inc.","HP","ABQ","PHX",6,"694",1,1996,4,12,1,"F",
0.00,1.00,34300.00,142.00,131.00,0.00,0.00,328.00,70.00,55.00,"Delta Air Lines Inc.","DL","ABQ","PHX",6,"655",1,1996,4,12,1,"F",
0.00,1.00,31824.00,126.00,116.00,0.00,850.00,328.00,78.00,59.00,"US Airways Inc.","US","ABQ","PHX",6,"619",1,1996,4,12,1,"F",
0.00,1.00,31800.00,126.00,109.00,0.00,0.00,628.00,107.00,95.00,"United Air Lines Inc.","UA","ABQ","SAN",6,"619",1,1996,4,12,2,"F",
0.00,6.00,219360.00,882.00,708.00,1488.00,11200.00,628.00,682.00,562.00,"United Air Lines Inc.","UA","ABQ","SAN",7,"715",1,1996,4,12,2,"F",
0.00,1.00,32824.00,126.00,121.00,0.00,100.00,650.00,120.00,104.00,"US Airways Inc.","US","ABQ","SNA",6,"619",1,1996,4,12,2,"F",
0.00,2.00,12326.00,60.00,16.00,0.00,0.00,86.00,74.00,43.00,"ExpressJet Airlines LLC","EV","ABY","MCN",4,"461",1,1996,4,12,1,"F",
0.00,1.00,7200.00,19.00,7.00,0.00,0.00,185.00,103.00,89.00,"ExpressJet Airlines Inc.","RU","ACT","EFD",4,"405",1,1996,4,12,1,"F",
0.00,2.00,14400.00,38.00,5.00,0.00,0.00,45.00,45.00,27.00,"ExpressJet Airlines Inc.","RU","ACT","ILE",4,"405",1,1996,4,12,1,"F",
0.00,1.00,27780.00,110.00,45.00,0.00,0.00,46.00,28.00,17.00,"US Airways Inc.","US","ACY","PHL",6,"620",1,1996,4,12,1,"F",
0.00,2.00,66252.00,96.00,15.00,1036.00,514.00,1192.00,321.00,295.00,"Reeve Aleutian Airways Inc.","RV","ADK","ANC",7,"711",3,1996,4,12,3,"F",
0.00,2.00,11882.00,60.00,9.00,0.00,0.00,500.00,265.00,240.00,"ExpressJet Airlines LLC","EV","AEX","ATL",4,"461",1,1996,4,12,2,"F",
0.00,1.00,7500.00,30.00,6.00,0.00,0.00,196.00,95.00,81.00,"ExpressJet Airlines Inc.","RU","AEX","EFD",4,"461",1,1996,4,12,1,"F",
0.00,1.00,10500.00,46.00,4.00,0.00,0.00,87.00,43.00,29.00,"ExpressJet Airlines Inc.","RU","AEX","MLU",4,"441",1,1996,4,12,1,"F",
0.00,1.00,47000.00,182.00,170.00,0.00,6697.00,143.00,57.00,43.00,"Delta Air Lines Inc.","DL","AGS","ATL",6,"622",1,1996,4,12,1,"F",
0.00,1.00,14523.00,66.00,22.00,0.00,0.00,108.00,113.00,88.00,"ExpressJet Airlines LLC","EV","AGS","MCN",4,"442",1,1996,4,12,1,"F",
0.00,1.00,28490.00,56.00,1.00,0.00,0.00,289.00,70.00,50.00,"Alaska Airlines Inc.","AS","AKN","ANC",6,"621",3,1996,4,12,1,"F",
0.00,16.00,468750.00,686.00,312.00,20561.00,94447.00,71.00,435.00,318.00,"Alaska Airlines Inc.","AS","AKN","DLG",6,"621",3,1996,4,12,1,"F",
0.00,1.00,32824.00,128.00,68.00,0.00,1200.00,80.00,30.00,21.00,"US Airways Inc.","US","ALB","BDL",6,"619",1,1996,4,12,1,"F",
0.00,1.00,23850.00,98.00,97.00,0.00,1200.00,145.00,79.00,63.00,"US Airways Inc.","US","ALB","BOS",6,"603",1,1996,4,12,1,"F",
0.00,1.00,37610.00,149.00,22.00,0.00,3000.00,251.00,51.00,36.00,"Delta Air Lines Inc.","DL","ALB","BUF",7,"715",1,1996,4,12,1,"F",
0.00,1.00,36300.00,149.00,77.00,0.00,131.00,508.00,178.00,165.00,"Delta Air Lines Inc.","DL","ALB","CMH",7,"715",1,1996,4,12,2,"F",
0.00,1.00,30090.00,122.00,0.00,0.00,0.00,595.00,120.00,94.00,"Northwest Airlines Inc.","NW","ALB","GRR",6,"650",1,1996,4,12,2,"F",
0.00,1.00,31824.00,126.00,72.00,0.00,78.00,423.00,127.00,117.00,"US Airways Inc.","US","ALB","ORF",6,"619",1,1996,4,12,1,"F",
0.00,2.00,21000.00,92.00,20.00,0.00,0.00,119.00,90.00,62.00,"ExpressJet Airlines Inc.","RU","ALB","SYR",4,"441",1,1996,4,12,1,"F",
0.00,1.00,5500.00,19.00,0.00,0.00,0.00,133.00,41.00,34.00,"Mesa Airlines Inc.","YV","ALS","MTJ",4,"405",1,1996,4,12,1,"F",
0.00,1.00,5500.00,19.00,0.00,0.00,0.00,126.00,43.00,38.00,"Mesa Airlines Inc.","YV","ALS","SAF",4,"405",1,1996,4,12,1,"F",
0.00,2.00,29046.00,132.00,50.00,0.00,257.00,313.00,145.00,120.00,"ExpressJet Airlines LLC","EV","AMA","DFW",4,"442",1,1996,4,12,1,"F",
0.00,17.00,497240.00,742.00,303.00,35621.00,128132.00,289.00,990.00,778.00,"Alaska Airlines Inc.","AS","ANC","AKN",6,"621",3,1996,4,12,1,"F",
0.00,67.00,1950710.00,3090.00,2130.00,111026.00,490734.00,399.00,5063.00,4107.00,"Alaska Airlines Inc.","AS","ANC","BET",6,"621",3,1996,4,12,1,"F",
0.00,1.00,12034.00,66.00,7.00,135.00,0.00,621.00,229.00,221.00,"Reeve Aleutian Airways Inc.","RV","ANC","CDB",5,"550",3,1996,4,12,2,"F",
0.00,1.00,35500.00,140.00,38.00,223.00,1523.00,160.00,59.00,40.00,"Alaska Airlines Inc.","AS","ANC","CDV",6,"617",1,1996,4,12,1,"F",
0.00,21.00,581920.00,1448.00,775.00,56108.00,56077.00,160.00,996.00,716.00,"Alaska Airlines Inc.","AS","ANC","CDV",6,"621",3,1996,4,12,1,"F",
0.00,1.00,30540.00,26.00,9.00,1974.00,18397.00,329.00,71.00,59.00,"Alaska Airlines Inc.","AS","ANC","DLG",6,"621",3,1996,4,12,1,"F",
0.00,27.00,761100.00,1608.00,770.00,63603.00,62863.00,792.00,3358.00,3037.00,"Alaska Airlines Inc.","AS","ANC","DUT",6,"621",3,1996,4,12,2,"F",
0.00,52.00,1494580.00,2576.00,1813.00,224944.00,161150.00,261.00,2847.00,2160.00,"Alaska Airlines Inc.","AS","ANC","FAI",6,"621",3,1996,4,12,1,"F",
0.00,1.00,47000.00,183.00,43.00,0.00,4173.00,1584.00,228.00,214.00,"Delta Air Lines Inc.","DL","ANC","GEG",6,"622",1,1996,4,12,4,"F",
0.00,8.00,706400.00,2427.00,1732.00,0.00,0.00,2776.00,2779.00,2635.00,"Hawaiian Airlines Inc.","HA","ANC","HNL",7,"730",1,1996,4,12,6,"F",
0.00,5.00,540000.00,0.00,0.00,0.00,0.00,3385.00,0.00,0.00,"Gemini Air Cargo Airways","GR","ANC","JFK",7,"732",2,1996,4,12,7,"P",
0.00,19.00,528210.00,1288.00,608.00,36424.00,28922.00,571.00,1820.00,1543.00,"Alaska Airlines Inc.","AS","ANC","JNU",6,"621",3,1996,4,12,2,"F",
0.00,1.00,27100.00,72.00,45.00,593.00,4148.00,774.00,145.00,127.00,"Alaska Airlines Inc.","AS","ANC","KTN",6,"621",3,1996,4,12,2,"F",
0.00,1.00,38440.00,150.00,55.00,0.00,1074.00,2304.00,282.00,270.00,"America West Airlines Inc.","HP","ANC","LAS",6,"694",1,1996,4,12,5,"F",
0.00,4.00,872980.00,0.00,0.00,702092.00,0.00,2345.00,1237.00,1077.00,"Kitty Hawk International","CDQ","ANC","LAX",8,"816",2,1996,4,12,5,"P",
0.00,2.00,502000.00,0.00,0.00,404760.00,0.00,3127.00,721.00,681.00,"Evergreen International Inc.","EZ","ANC","LCK",8,"817",2,1996,4,12,7,"P",
0.00,48.00,1394480.00,2228.00,1369.00,144540.00,357615.00,539.00,4523.00,3754.00,"Alaska Airlines Inc.","AS","ANC","OME",6,"621",3,1996,4,12,2,"F",
0.00,1.00,251000.00,0.00,0.00,226720.00,0.00,2846.00,335.00,310.00,"Evergreen International Inc.","EZ","ANC","ORD",8,"817",2,1996,4,12,6,"P",
0.00,46.00,1344340.00,2026.00,1123.00,71812.00,432644.00,549.00,4454.00,3800.00,"Alaska Airlines Inc.","AS","ANC","OTZ",6,"621",3,1996,4,12,2,"F",
0.00,1.00,35400.00,140.00,97.00,0.00,0.00,1542.00,195.00,178.00,"Alaska Airlines Inc.","AS","ANC","PDX",6,"617",1,1996,4,12,4,"F",
0.00,1.00,35630.00,140.00,126.00,0.00,0.00,1542.00,193.00,177.00,"Alaska Airlines Inc.","AS","ANC","PDX",6,"655",1,1996,4,12,4,"F",
0.00,1.00,38440.00,150.00,84.00,0.00,0.00,2551.00,342.00,318.00,"America West Airlines Inc.","HP","ANC","PHX",6,"694",1,1996,4,12,6,"F",
0.00,1.00,27630.00,72.00,43.00,4949.00,3368.00,677.00,203.00,183.00,"Alaska Airlines Inc.","AS","ANC","PSG",6,"621",3,1996,4,12,2,"F",
0.00,26.00,760470.00,1126.00,431.00,217473.00,4731.00,627.00,2700.00,2391.00,"Alaska Airlines Inc.","AS","ANC","SCC",6,"621",3,1996,4,12,2,"F",
0.00,9.00,1476000.00,0.00,0.00,845319.00,0.00,3121.00,3223.00,3079.00,"Sun Country Airlines d/b/a MN Airlines","SYQ","ANC","SDF",7,"735",2,1996,4,12,7,"P",
0.00,3.00,47762.00,144.00,70.00,3918.00,18222.00,557.00,378.00,344.00,"Reeve Aleutian Airways Inc.","RV","ANC","SDP",5,"550",3,1996,4,12,2,"F",
0.00,1.00,35300.00,140.00,28.00,1170.00,3434.00,592.00,108.00,95.00,"Alaska Airlines Inc.","AS","ANC","SIT",6,"617",1,1996,4,12,2,"F",
0.00,1.00,27100.00,72.00,9.00,1089.00,439.00,708.00,120.00,107.00,"Alaska Airlines Inc.","AS","ANC","WRG",6,"621",3,1996,4,12,2,"F",
0.00,2.00,11000.00,38.00,0.00,0.00,0.00,109.00,80.00,63.00,"Mesa Airlines Inc.","YV","APF","MTH",4,"405",1,1996,4,12,1,"F",
0.00,1.00,22146.00,86.00,60.00,0.00,0.00,89.00,41.00,35.00,"Air Wisconsin Airlines Corp","ZW","ASE","GJT",8,"868",1,1996,4,12,1,"F",
0.00,2.00,126080.00,408.00,274.00,1542.00,9070.00,859.00,287.00,212.00,"Delta Air Lines Inc.","DL","ATL","BDL",6,"625",1,1996,4,12,2,"F",
0.00,1.00,64525.00,217.00,113.00,8984.00,1800.00,1134.00,252.00,225.00,"Delta Air Lines Inc.","DL","ATL","BGR",7,"765",1,1996,4,12,3,"F",
0.00,1.00,23850.00,98.00,40.00,0.00,0.00,134.00,48.00,35.00,"US Airways Inc.","US","ATL","BHM",6,"603",1,1996,4,12,1,"F",
